recording_id,status,snr_db,quality_tier,hqi
1106174,accepted,28.3,A,0.8528911810944868
1106173,accepted,25.07,A,0.8528911810944868
1100198,accepted,43.54,A,0.8387924602965953
1092231,accepted,40.14,A,0.5975831941646634
1091980,accepted,25.16,A,0.8743472528370381
1084417,accepted,24.22,A,0.3975500425619503
1052236,accepted,41.05,A,0.9637988779417888
1047739,accepted,34.15,A,0.8344828555491999
1046158,accepted,40.06,A,0.8180920565793207
996274,accepted,43.7,A,0.5187067661594357
994505,accepted,32.19,A,0.6104254046945206
994504,accepted,40.04,A,0.6104254046945206
990694,accepted,25.2,A,0.6164057791995313
989898,accepted,20.93,A,0.6386238781732876
985820,accepted,43.61,A,0.7111584995266879
985810,accepted,56.02,A,0.7124878278247154
983564,accepted,26.05,A,0.8947373239129534
983069,accepted,36.43,A,0.771877646936194
926836,accepted,42.19,A,0.4485224270004185
906512,accepted,16.28,A,0.5619220414688043
905527,accepted,15.34,A,0.4883037395854115
905525,rejected_snr,14.81,A,0.4883037395854115
899081,accepted,19.96,A,0.854347021124901
881427,accepted,27.99,A,0.485539694514622
880732,accepted,35.13,A,0.7094547167692595
870733,accepted,41.47,A,0.8515098832764716
843489,accepted,56.4,A,0.5088080136011465
843484,accepted,55.97,A,0.5088080136011465
843474,accepted,44.89,A,0.5493164848189381
842245,accepted,51.1,A,0.713818288726054
842243,rejected_clipping,,A,0.713818288726054
841519,accepted,32.23,A,0.7360983378835144
804299,accepted,56.95,A,0.7844885113961904
801873,accepted,23.26,A,0.7819423694326887
801249,accepted,30.62,A,0.4992650090893022
799282,accepted,38.88,A,0.7224518610809806
798517,accepted,37.27,A,0.8385985085329872
798050,accepted,41.51,A,0.6387417361312921
798049,accepted,43.52,A,0.6387417361312921
798048,accepted,35.18,A,0.6413688608711727
795784,accepted,34.77,A,0.3816794244948821
795763,accepted,37.66,A,0.3816794244948821
795227,accepted,58.55,A,0.7983707767935039
792451,accepted,44.68,A,0.8561765147108238
783633,accepted,57.64,A,0.6587814363061864
770768,accepted,49.46,A,0.4802082056661806
767786,accepted,20.52,A,0.6900224832531675
729993,accepted,56.79,A,0.7040914887555716
724068,accepted,48.08,A,0.8647500204022117
718274,accepted,54.37,A,0.5947775393290612
718046,accepted,54.37,A,0.6852090518577182
716880,accepted,24.9,A,0.3345701806130253
716109,rejected_snr,12.69,A,0.782083980255814
715983,accepted,33.84,A,0.2467939868889942
715846,accepted,33.0,A,0.7781627033013786
712879,accepted,33.93,A,0.6623084159877483
711367,accepted,40.82,A,0.8064120458456187
711263,accepted,28.16,A,0.53517765761622
710918,accepted,18.93,A,0.2331512224351674
709335,accepted,47.8,A,0.7869885330544835
699177,accepted,30.74,A,0.7950882267990144
694592,accepted,39.75,A,0.4853026525338119
682783,accepted,26.5,A,0.7580342444652748
659797,accepted,44.02,A,0.9005830739015747
659796,accepted,42.81,A,0.9005830739015747
659768,accepted,23.57,A,0.8018513773135119
653264,accepted,41.15,A,0.2557164273587466
650119,accepted,37.71,A,0.9567600174350944
649523,accepted,44.38,A,0.9379888514988504
649165,accepted,83.13,A,0.4791522387842236
647427,accepted,31.78,A,0.2459962234272368
644945,accepted,65.21,A,0.8726889575203967
644789,accepted,37.86,A,0.2395473157141759
642636,accepted,79.88,A,0.604910775744911
641390,accepted,70.64,A,0.7161887630189655
641368,accepted,58.94,A,0.7845341508598016
641218,accepted,35.0,A,0.5682419726458491
640219,accepted,29.36,A,0.2287375910130666
635601,accepted,32.65,A,0.5584502442232755
633254,accepted,25.06,A,0.7013402086880469
631744,accepted,29.25,A,0.6432055112693759
631477,accepted,26.82,A,0.3416980779050997
630951,accepted,35.22,A,0.6655167962799708
627978,accepted,34.83,A,0.6473143677042567
627276,accepted,31.2,A,0.7716756072820259
602153,accepted,29.7,A,0.4199488022472225
602152,accepted,24.69,A,0.4199488022472225
602151,accepted,28.07,A,0.4199488022472225
602149,accepted,48.77,A,0.4199488022472225
602148,accepted,53.04,A,0.4199488022472225
593044,accepted,29.84,A,0.7773824242018934
583661,accepted,40.24,A,0.752394051808778
581932,accepted,37.96,A,0.7687636800108143
571732,rejected_snr,14.05,A,0.3528434659005268
556936,accepted,31.17,A,0.8055278393100059
553637,accepted,33.9,A,0.6704905313880272
551734,accepted,40.7,A,0.6745328227759193
551692,accepted,37.24,A,0.6705407869835219
550313,accepted,43.11,A,0.6833834608876097
546441,rejected_snr,6.88,A,0.5815910100238031
545839,accepted,31.06,A,0.4368061851722662
543377,accepted,19.71,A,0.4298941259398175
543375,accepted,28.51,A,0.4298941259398175
541533,accepted,51.44,A,0.7312312347511167
541531,accepted,30.0,A,0.7312312347511167
541528,accepted,54.69,A,0.7312312347511167
541526,accepted,48.29,A,0.7312312347511167
541522,accepted,33.73,A,0.7312312347511167
541517,accepted,48.2,A,0.7312312347511167
538945,accepted,43.73,A,0.5514857989722054
537814,accepted,50.55,A,0.7301427607421919
537813,accepted,39.24,A,0.7301427607421919
536592,accepted,24.96,A,0.7010732235955325
536587,accepted,24.19,A,0.7010732235955325
536136,accepted,51.44,A,0.5377923827671228
535697,accepted,53.88,A,0.5340744149607481
535694,accepted,56.79,A,0.5340744149607481
533705,accepted,42.13,A,0.7316144093639284
533700,accepted,30.76,A,0.7316144093639284
516323,accepted,42.38,A,0.8422893413564452
505777,accepted,40.17,A,0.6796254359114705
478194,accepted,34.11,A,0.9006538611844924
471713,accepted,37.74,A,0.691683682082245
470193,rejected_clipping,,A,0.5237595003145874
468695,accepted,37.34,A,0.5433507312935378
467945,accepted,31.22,A,0.8561835153691001
467944,accepted,44.98,A,0.8561835153691001
467687,accepted,23.69,A,0.7868797178195669
462833,accepted,57.53,A,0.6709805339326159
462714,accepted,37.78,A,0.6458179448596718
462709,accepted,31.77,A,0.6458179448596718
462704,accepted,37.06,A,0.6458179448596718
438243,accepted,25.37,A,0.4259006296052592
437705,accepted,17.17,A,0.4277403687459057
436195,accepted,28.38,A,0.5239430557263496
418483,accepted,41.42,A,0.583818807865623
417023,accepted,57.01,A,0.9412357433460706
407134,accepted,36.06,A,0.6712745213296343
407131,accepted,40.92,A,0.6712745213296343
407130,accepted,39.55,A,0.6712745213296343
407129,accepted,36.54,A,0.6712745213296343
406287,accepted,37.02,A,0.659053879259967
406286,accepted,30.98,A,0.659053879259967
402253,accepted,62.68,A,0.308893240537814
402252,accepted,44.95,A,0.308893240537814
402251,accepted,45.43,A,0.308893240537814
385159,accepted,94.11,A,0.7395445374764184
384625,accepted,94.16,A,0.692091394194316
384622,accepted,104.66,A,0.6155408657003225
381182,accepted,40.17,A,0.675170381912824
371625,accepted,98.72,A,0.5822990419405608
371457,accepted,90.56,A,0.557228170215724
371430,accepted,93.79,A,0.5645978897999282
361979,accepted,59.88,A,0.7472073008751102
359045,accepted,34.09,A,0.5880022687790502
357767,accepted,48.32,A,0.5363989954151154
351439,accepted,47.33,A,0.4467653053844058
348069,accepted,33.22,A,0.7814902091725915
337767,accepted,50.19,A,0.6626322257189414
331371,accepted,88.46,A,0.715636256596076
315677,accepted,85.88,A,0.4085511697017327
309830,accepted,102.47,A,0.5751676993572422
309828,accepted,88.42,A,0.5634306166784527
309826,accepted,98.39,A,0.5135775012341938
309824,accepted,99.14,A,0.5508780929393918
308734,accepted,34.62,A,0.6326608495797549
304755,accepted,86.35,A,0.3416888385150337
304754,accepted,97.93,A,0.5996622992259759
304752,accepted,103.14,A,0.7467601126811619
304747,accepted,105.44,A,0.8362968812624436
304746,accepted,84.49,A,0.8362968812624436
304745,accepted,92.48,A,0.8362968812624436
303440,accepted,98.43,A,0.7641818820988379
303437,accepted,102.44,A,0.7717624178973412
303436,accepted,97.55,A,0.7651646655849629
303422,accepted,103.62,A,0.8401375848523833
303416,accepted,102.41,A,0.8168086216889664
303404,accepted,104.35,A,0.8220013925203669
303403,accepted,100.22,A,0.8220013925203669
303395,accepted,97.93,A,0.5192722745886181
303321,accepted,87.62,A,0.6430094937976948
303316,accepted,96.47,A,0.6148422098902513
303312,accepted,105.6,A,0.3953507643068266
281645,accepted,60.17,A,0.8139535593346708
281644,accepted,44.37,A,0.8139535593346708
281640,accepted,55.41,A,0.8187455419332247
281639,accepted,57.57,A,0.8187455419332247
281638,accepted,58.73,A,0.8139535593346708
281636,accepted,71.9,A,0.992648406933444
281635,accepted,63.1,A,0.8139535593346708
175109,accepted,70.64,A,0.7313150840355606
172453,accepted,52.79,A,0.7059104683121297
170185,accepted,74.87,A,0.6329553364907579
168910,accepted,79.37,A,0.6942941394928343
161542,accepted,44.09,A,0.5608585155982383
139327,accepted,51.24,A,0.1800885029203276
135371,accepted,44.57,A,0.8805064914728038
132001,accepted,43.17,A,0.8550884090947514
131611,accepted,94.7,A,0.6337743925410773
129372,accepted,96.02,A,0.7151460400142474
