id,lat,lon,date,month,country,quality,type,length,file_url,file_name,also_species_list
1106174,47.123,16.4243,2026-04-19,4,Austria,A,song,1:13,https://xeno-canto.org/1106174/download,XC1106174-260419-093959-Kohlmeise.wav,Parus major|Corvus cornix
1106173,47.123,16.4243,2026-04-19,4,Austria,A,song,1:02,https://xeno-canto.org/1106173/download,XC1106173-260419-093740-Kohlmeise-LC125Hz.wav,Parus major|Corvus cornix
1100198,46.6031,0.1818,2026-03-31,3,France,A,call,0:29,https://xeno-canto.org/1100198/download,XC1100198-260331-MP-3164-id-mâle-mésange-charbonnière.mp3,
1092231,47.8103,-2.3838,2026-03-29,3,France,A,song,0:43,https://xeno-canto.org/1092231/download,XC1092231-PARMAJ_260329_5956_Malestroit56_center.mp3,
1091980,49.0315,12.2836,2026-03-28,3,Germany,A,song,1:34,https://xeno-canto.org/1091980/download,XC1091980-Kohlmeise_Gesang_20260328XC.wav,Cyanistes caeruleus
1084417,48.0228,0.1995,2026-03-03,3,France,A,song,1:14,https://xeno-canto.org/1084417/download,XC1084417-mc-3mars26-14h30-coul.wav,
1052236,45.2635,1.9197,2025-06-08,6,France,A,call,1:13,https://xeno-canto.org/1052236/download,XC1052236-250608-MP-3011-Espagnac-étangs-de-Taysse-mésange-charbonnière.mp3,Fringilla coelebs|Erithacus rubecula
1047739,46.6068,0.1852,2025-05-14,5,France,A,song,3:06,https://xeno-canto.org/1047739/download,XC1047739-250514-MP-2932-MdF-mésange-charbonnière.mp3,Cuculus canorus|Luscinia megarhynchos
1046158,46.6073,0.1863,2025-05-13,5,France,A,song,1:03,https://xeno-canto.org/1046158/download,XC1046158-250513-MP-2913-9h59-Vouillé-MdF-mésange-charbonnière.mp3,
996274,51.9363,5.9001,2025-04-02,4,Netherlands,A,song,1:19,https://xeno-canto.org/996274/download,"XC996274-Koolmees,-song,-IGS,-020425,-0741-uur.wav",
994505,48.9512,2.4064,2025-04-19,4,France,A,song,2:21,https://xeno-canto.org/994505/download,XC994505-BIRDSong_Mesanges-Charbonniere-Bord-Etang-03-Parc-George-Valbon_GC_Printemps2025_PARABOLE.wav,
994504,48.9512,2.4064,2025-04-19,4,France,A,song,1:24,https://xeno-canto.org/994504/download,XC994504-BIRDSong_Mesanges-Charbonniere-Bord-Etang-02-Parc-George-Valbon_GC_Printemps2025_PARABOLE.wav,
990694,53.2024,5.7515,2025-04-13,4,Netherlands,A,call,1:18,https://xeno-canto.org/990694/download,XC990694-01-Parus-major-&-Cyanistes-caeruleus.wav,
